image_file,image_id,image_size,class,embedding_file,embedding_method
./img/64/aluminium_foil/00001.png,1,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00001.npy,hilbert
./img/64/aluminium_foil/00002.png,2,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00002.npy,hilbert
./img/64/aluminium_foil/00003.png,3,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00003.npy,hilbert
./img/64/aluminium_foil/00004.png,4,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00004.npy,hilbert
./img/64/aluminium_foil/00005.png,5,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00005.npy,hilbert
./img/64/aluminium_foil/00006.png,6,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00006.npy,hilbert
./img/64/aluminium_foil/00007.png,7,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00007.npy,hilbert
./img/64/aluminium_foil/00008.png,8,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00008.npy,hilbert
./img/64/aluminium_foil/00009.png,9,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00009.npy,hilbert
./img/64/aluminium_foil/00010.png,10,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00010.npy,hilbert
./img/64/aluminium_foil/00011.png,11,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00011.npy,hilbert
./img/64/aluminium_foil/00012.png,12,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00012.npy,hilbert
./img/64/aluminium_foil/00013.png,13,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00013.npy,hilbert
./img/64/aluminium_foil/00014.png,14,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00014.npy,hilbert
./img/64/aluminium_foil/00015.png,15,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00015.npy,hilbert
./img/64/aluminium_foil/00016.png,16,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00016.npy,hilbert
./img/64/aluminium_foil/00017.png,17,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00017.npy,hilbert
./img/64/aluminium_foil/00018.png,18,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00018.npy,hilbert
./img/64/aluminium_foil/00019.png,19,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00019.npy,hilbert
./img/64/aluminium_foil/00020.png,20,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00020.npy,hilbert
./img/64/aluminium_foil/00021.png,21,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00021.npy,hilbert
./img/64/aluminium_foil/00022.png,22,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00022.npy,hilbert
./img/64/aluminium_foil/00023.png,23,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00023.npy,hilbert
./img/64/aluminium_foil/00024.png,24,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00024.npy,hilbert
./img/64/aluminium_foil/00025.png,25,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00025.npy,hilbert
./img/64/aluminium_foil/00026.png,26,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00026.npy,hilbert
./img/64/aluminium_foil/00027.png,27,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00027.npy,hilbert
./img/64/aluminium_foil/00028.png,28,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00028.npy,hilbert
./img/64/aluminium_foil/00029.png,29,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00029.npy,hilbert
./img/64/aluminium_foil/00030.png,30,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00030.npy,hilbert
./img/64/aluminium_foil/00031.png,31,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00031.npy,hilbert
./img/64/aluminium_foil/00032.png,32,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00032.npy,hilbert
./img/64/aluminium_foil/00033.png,33,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00033.npy,hilbert
./img/64/aluminium_foil/00034.png,34,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00034.npy,hilbert
./img/64/aluminium_foil/00035.png,35,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00035.npy,hilbert
./img/64/aluminium_foil/00036.png,36,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00036.npy,hilbert
./img/64/aluminium_foil/00037.png,37,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00037.npy,hilbert
./img/64/aluminium_foil/00038.png,38,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00038.npy,hilbert
./img/64/aluminium_foil/00039.png,39,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00039.npy,hilbert
./img/64/aluminium_foil/00040.png,40,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00040.npy,hilbert
./img/64/aluminium_foil/00041.png,41,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00041.npy,hilbert
./img/64/aluminium_foil/00042.png,42,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00042.npy,hilbert
./img/64/aluminium_foil/00043.png,43,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00043.npy,hilbert
./img/64/aluminium_foil/00044.png,44,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00044.npy,hilbert
./img/64/aluminium_foil/00045.png,45,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00045.npy,hilbert
./img/64/aluminium_foil/00046.png,46,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00046.npy,hilbert
./img/64/aluminium_foil/00047.png,47,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00047.npy,hilbert
./img/64/aluminium_foil/00048.png,48,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00048.npy,hilbert
./img/64/aluminium_foil/00049.png,49,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00049.npy,hilbert
./img/64/aluminium_foil/00050.png,50,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00050.npy,hilbert
./img/64/aluminium_foil/00051.png,51,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00051.npy,hilbert
./img/64/aluminium_foil/00052.png,52,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00052.npy,hilbert
./img/64/aluminium_foil/00053.png,53,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00053.npy,hilbert
./img/64/aluminium_foil/00054.png,54,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00054.npy,hilbert
./img/64/aluminium_foil/00055.png,55,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00055.npy,hilbert
./img/64/aluminium_foil/00056.png,56,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00056.npy,hilbert
./img/64/aluminium_foil/00057.png,57,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00057.npy,hilbert
./img/64/aluminium_foil/00058.png,58,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00058.npy,hilbert
./img/64/aluminium_foil/00059.png,59,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00059.npy,hilbert
./img/64/aluminium_foil/00060.png,60,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00060.npy,hilbert
./img/64/aluminium_foil/00061.png,61,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00061.npy,hilbert
./img/64/aluminium_foil/00062.png,62,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00062.npy,hilbert
./img/64/aluminium_foil/00063.png,63,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00063.npy,hilbert
./img/64/aluminium_foil/00064.png,64,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00064.npy,hilbert
./img/64/aluminium_foil/00065.png,65,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00065.npy,hilbert
./img/64/aluminium_foil/00066.png,66,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00066.npy,hilbert
./img/64/aluminium_foil/00067.png,67,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00067.npy,hilbert
./img/64/aluminium_foil/00068.png,68,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00068.npy,hilbert
./img/64/aluminium_foil/00069.png,69,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00069.npy,hilbert
./img/64/aluminium_foil/00070.png,70,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00070.npy,hilbert
./img/64/aluminium_foil/00071.png,71,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00071.npy,hilbert
./img/64/aluminium_foil/00072.png,72,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00072.npy,hilbert
./img/64/aluminium_foil/00073.png,73,"(64, 64)",aluminium_foil,./emb/64/hilbert\aluminium_foil\00073.npy,hilbert
